Text,Environmental Negative,Environmental Neutral,Environmental Positive,Governance Negative,Governance Neutral,Governance Positive,Social Negative,Social Neutral,Social Positive,__index_level_0__
"Climate change is a challenge for all of us, and we need to address it holistically.",0,0,1,0,0,0,0,0,0,539
"In the course of these proceedings, Chevron’s management made significant missteps, including moving the case from New York to Ecuador.",0,0,0,1,0,0,0,0,0,235
"Chevron has supported lobbying and trade associations that spread dis-information on climate science and policy, such as the American Legislative Exchange Council (“ALEC”) and the American Petroleum Institute (“API”).",1,0,0,1,0,0,0,0,0,284
Describe any efforts to validate emissions estimates and disclosure through a third-party audit or evaluation.,0,0,1,0,0,1,0,0,0,592
"However, Chevron believes that through continuous participation with these organizations it has the best opportunity to influence their positions in a manner that aligns with the long-term interests of its stockholders.",0,0,0,0,0,1,0,0,0,131
"To this end, Chevron works with governments and other stakeholders to develop climate policy that addresses environmental goals while continuing to ensure critical access to affordable, reliable, and ever-cleaner energy.",0,0,1,0,0,1,0,0,0,127
Chevron has acknowledged the serious risk from enforcement of the $9.5 billion judgment.,0,0,0,0,1,0,0,0,0,276
The Intergovernmental Panel on Climate Change projects dramatic drops in industry emissions of 50 to 90 percent by 2050 are necessary to limit global warming to 1.5 and 2 degrees Celsius.,0,0,1,0,0,0,0,0,0,62
"On August 8, 2016, the U.S. Court of Appeals for the Second Circuit unanimously affirmed the SDNY’s findings, noting that “the record in the present case reveals a parade of corrupt actions…, including coercion, fraud and bribery, culminating in the promise to [the] Judge of $500,000 from a judgment in favor of the [Ecuadorian plaintiffs].”",0,0,0,1,0,0,0,0,0,263
This report further describes Chevron’s lobbying strategies and governance to ensure its trade association memberships are in alignment with Chevron’s interests with respect to climate change issues.,0,0,1,0,0,1,0,0,0,437
"In June 2017, the U.S. Supreme Court denied review, rendering the New York judgment final.",0,0,0,0,1,0,0,0,0,264
"For decades, Chevron has managed risks associated with the impact of ambient conditions on our operations.",0,1,0,0,0,0,0,0,0,162
We are confident you will agree that the Company’s disclosures are extensive and address the proposal’s request.,0,0,0,0,0,1,0,0,0,47
Preparing for and holding a special meeting is time-consuming and expensive.,0,0,0,0,1,0,0,0,0,508
"On an annual basis, the Public Policy Committee of the Board of Directors reviews the policies, procedures and expenditures for Chevron’s political activities, including political contributions and direct and indirect lobbying.",0,0,0,0,0,1,0,0,0,43
"Your Board recommends a vote AGAINST this proposal because the full Board already has oversight of the Company’s strategy, including the Company’s response to climate change, and has Committees that also consider climate change issues.",0,0,0,1,0,0,0,0,0,67
"As climate change intensifies flooding and storm strength, the potential for unplanned chemical releases grows.",1,0,0,0,0,0,0,0,0,155
"Your Board believes, and several prominent courts and international tribunals have now confirmed, that the Ecuador litigation is the product of fraud, extortion, and bribery.",0,0,0,1,0,0,0,0,0,298
"Further, Chevron has increased renewable fuels and products in its value chains over the last decade and plans to spend $750 million by 2028 in investments in renewables and offsets.",0,0,1,0,0,1,0,0,0,339
Chevron exercises its fundamental right and responsibility to participate in the public policymaking process across myriad public policy issues important to its business.,0,0,0,0,0,1,0,0,0,135
We believe management has mishandled a variety of issues in ways that significantly increase both risk and costs to shareholders.,0,0,0,1,0,0,0,0,0,229
"Resolved: Shareholders request that Chevron, with board oversight, publish a report, omitting proprietary information and prepared at reasonable cost, assessing the public health risks of expanding petrochemical operations and investments in areas increasingly prone to climate change-induced storms, flooding, and sea level rise.",1,0,0,0,0,1,0,0,0,141
"For purposes of this proposal, a “grassroots lobbying communication” is a communication directed to the general public that (a) refers to specific legislation or regulation, (b) reflects a view on the legislation or regulation and (c) encourages the recipient of the communication to take action with respect to the legislation or regulation. “Indirect lobbying” is lobbying engaged in by a trade association or other organization of which Chevron is a member.",0,0,0,0,1,0,0,0,0,401
Resolved: Shareholders request the Board of Directors charter a new Board Committee on Climate Risk to evaluate the board and management’s climate strategy and to better inform board decision making on climate risks and opportunities.,0,0,1,0,0,1,0,0,0,49
"In addition to facilities design and operation, Chevron Phillips Chemical, based on the Responsible Care® initiative’s Product Safety Code, also evaluates, demonstrates, and continuously improves its product safety performance.",0,0,0,0,0,1,0,0,1,177
"The pattern and number of penalties, court filings, and protests Chevron faces from fenceline communities raise questions about whether Chevron’s policies and systems are effectively implemented to prevent, mitigate and remedy human rights impacts.",0,0,0,1,0,0,1,0,0,196
"Instead of negotiating an expedient, fair, and comprehensive settlement with the affected communities in Ecuador, Chevron pursued a costly legal strategy that lasted for more than two decades.",0,0,0,1,0,0,1,0,0,234
"He has not yet responded, and has also demurred on the question of how much Chevron has spent on litigation and PR regarding the Ecuador matter.",0,0,0,1,0,0,0,0,0,662
We are committed to supporting strong energy allies who promote democracy.,0,0,0,0,0,1,0,0,1,444
"While Chevron has made DEI and philanthropic commitments to support Black employees and communities, its practices have historically exacerbated racial inequities.",0,0,0,1,0,0,1,0,0,636
"In June 2017, the U.S. Supreme Court denied review, rendering the New York judgment final.",0,0,0,0,1,0,0,0,0,301
Chevron shares the concerns of governments and the public about climate change risks.,0,0,1,0,0,1,0,0,0,122
"2. Payments by Chevron used for (a) direct or indirect lobbying or (b) grassroots lobbying communications, in each case including the amount of the payment and the recipient.",0,0,0,0,1,0,0,0,0,3
"We plan to release a Methane Strategy Update (“Update”) later this year, which will address methane detection, direct measurement quantification, and disclosure.",0,0,1,0,0,1,0,0,0,594
"Therefore, your Board recommends that you vote AGAINST this proposal.",0,0,0,0,0,1,0,0,0,48
A link to the California Secretary of State Lobbying Activity website and instructions for accessing the Company’s current and previous years’ quarterly lobbying reports.,0,0,0,0,0,1,0,0,0,38
One example of a lower carbon scenario tested against Chevron’s portfolio is the SDS.,0,0,1,0,0,0,0,0,0,364
"Finally, although the proposal purports to relate to special meetings, the supporting statement makes clear that the proposal is a vehicle to discuss the Ecuador litigation and related actions against Chevron.",0,0,0,1,0,0,0,0,0,259
Therefore shareholders support oil and gas companies to substantially reduce their emissions.,0,0,1,0,0,1,0,0,0,526
"In 2020, more than 60 percent of Chevron’s total Scope 1 and Scope 2 equity GHG emissions were in regions with existing or developing carbon pricing policies.",0,0,1,0,0,0,0,0,0,366
The Board thus has great flexibility to choose the optimal leadership for the Board depending upon Chevron’s particular needs and circumstances at the time.,0,0,0,0,0,1,0,0,0,469
"Therefore, enforcement of the Ecuadorian Judgment remains a serious and ongoing financial risk.",0,0,0,1,0,0,1,0,0,660
"In many cases, this disclosure goes beyond what is required by law.",0,0,0,0,0,1,0,0,0,113
"Chevron’s Enterprise Risk Management (“ERM”) process includes an annual review with executive management and the Board of Directors that identifies financial, operational, market, political, and other risks inherent in its business.",0,0,0,0,1,0,0,0,0,214
Chevron already discloses extensive information about its political contributions and lobbying activities.,0,0,0,0,0,1,0,0,0,11
Your Board continues to believe its current By-Law is in stockholders’ best interests and provides appropriate reasonable limitations on the right to call special meetings.,0,0,0,0,0,1,0,0,0,680
"An independent Chair would improve oversight of management, and the attention paid to long-range risks such as those noted above.",0,0,0,0,0,1,0,0,0,466
Chevron’s Operational Excellence Management System describes how we integrate community engagement and support into how we conduct our business.,0,0,0,0,0,1,0,0,1,647
"Chevron believes that taking prudent, practical, and cost-effective actions to address climate change risks is the right thing to do.",0,0,1,0,0,0,0,0,0,124
"RESOLVED: Shareholders request the Board of Directors to adopt as policy, and amend the bylaws as necessary, to require that whenever possible the Chair of the Board of Directors be an independent member of the Board.",0,0,0,0,0,1,0,0,0,449
"This Proposal earned the support of 35% of shares voted in 2019, representing approximately $54 billion in shareholder value.",0,0,0,0,0,1,0,0,0,228
"Chevron is incorporated in Delaware, which requires that major corporate actions, such as a merger or a sale of all or substantially all of Chevron’s assets, be approved by stockholders.",0,0,0,0,0,1,0,0,0,256
"Chevron’s global operations have contributed to negative impacts on human rights, community relations, health, air quality, and water, all of which are identified as material for the Oil and Gas Exploration and Production sector by the Sustainability Accounting Standards Board.",1,0,0,0,0,0,1,0,0,183
"Chevron’s Board of Directors conducts an annual review with executive management that identifies significant financial, operational, market, political, environmental, and other risks.",0,0,0,0,0,1,0,0,0,391
2. Transparently reporting Scope 3 emissions from the use of our products; and,0,0,1,0,0,1,0,0,0,334
"When Chevron acquired Texaco in 2001, it inherited significant legal, financial, and reputational liabilities that stemmed from pollution of the water and lands of communities in the Ecuadorian Amazon.",1,0,0,0,0,0,0,0,0,274
Nearby Houston residents reported respiratory and other health problems following CPChem’s releases during Hurricane Harvey.,1,0,0,0,0,0,1,0,0,147
"These efforts also present systemic risks to our economies, as delays in implementation of the Paris Agreement increase the physical risks of climate change, pose a systemic risk to economic stability and introduce uncertainty and volatility into our portfolios.",1,0,0,0,0,0,1,0,0,100
"The Company considered input from First Nations and other stakeholders and responded by funding further environmental studies, adjusting plans, and modifying the pipeline route.",0,0,1,0,0,0,0,0,1,221
Your Board continues to believe its current By-Law is in the stockholders’ best interests and provides appropriate and reasonable limitations on the right to call special meetings.,0,0,0,0,0,1,0,0,0,522
Delineating responsibility and evaluating the efficacy of management and board responses to climate risks and opportunities.,0,0,1,0,0,1,0,0,0,56
Your Board believes that Chevron and its stockholders currently benefit from the unity of leadership and companywide strategic alignment associated with combining the positions of Chairman and CEO.,0,0,0,0,0,1,0,0,0,292
Your Board continues to believe that Chevron’s 15 percent threshold provides that a reasonable number of stockholders must consider a matter important enough to merit a special meeting.,0,0,0,0,1,0,0,0,0,247
Chevron believes the world’s continued demand for oil and gas should be supplied by the cleanest and most efficient producers.,0,1,0,0,0,0,0,0,0,331
"All corporate political contributions are centrally controlled, budgeted, and reviewed for compliance with applicable law.",0,0,0,0,0,1,0,0,0,41
Such opposition threatens to jeopardize CPChem’s social license to operate in the region.,0,0,0,0,0,0,1,0,0,153
"Your Board has the diverse skills, experience and expertise to enable the Board to effectively provide oversight of the risks and opportunities in the energy business.",0,0,0,0,0,1,0,0,0,69
"As part of this effort, the PPC considers important issues relating to climate risks, such as policy trends and their potential implications.",0,1,0,0,0,1,0,1,0,83
"Companies, including U.S. companies EQT and Jonah Energy, have joined the Oil and Gas Methane Partnership, committing to improving methane data quality and consistency.",0,0,1,0,0,1,0,0,0,585
If an annual or special meeting was held not more than 12 months before the request for a special meeting was received and included the purpose specified in the special meeting request.,0,0,0,0,1,0,0,0,0,672
"We are convinced that unabated climate change will have a devastating impact on our clients, plan beneficiaries, and the value of their portfolios.",1,0,0,0,0,0,0,0,0,104
Alberto Guerra was the principal witness in the Chevron RICO trial.,0,0,0,0,1,0,0,0,0,663
"In October 2020, the International Energy Agency (IEA) issued a new “Net Zero 2050” scenario which describes what it would mean for the energy sector globally to reach net-zero GHG emissions by 2050.",0,0,1,0,1,0,0,0,0,354
"For additional information regarding the Board’s views on its leadership structure, we encourage stockholders to read the “Board Leadership Structure” and “Independent Lead Director” sections of this Proxy Statement, on pages 19 and 20.",0,0,0,0,1,0,0,0,0,296
"an independent 2021 analysis concluded that Chevron’s financial statements lack the requisite transparency about climate-related assumptions and estimates, and that the company does not appear to use Paris-aligned assumptions and estimates.",0,0,0,1,0,0,0,0,0,560
"In an unprecedented move, Chevron harassed and subpoenaed stockholders who questioned the advisability of the Company’s legal strategy.",0,0,0,1,0,0,0,0,0,501
"Whereas, we believe in full disclosure of our Company’s direct and indirect lobbying activities and expenditures to assess whether Chevron’s lobbying is consistent with the Company’s expressed goals and in the best interests of shareowners.",0,0,0,0,0,1,0,0,0,0
"In 2014, a federal court in New York found that the Ecuadorian judgment had been procured through fraud, bribery, and corruption, and was unenforceable in the United States.",0,0,0,1,0,0,0,0,0,483
"For example, 80% of residents living adjacent to Chevron’s Richmond, CA refinery are people of color, and they experience higher rates of cardiovascular disease, cancer, and asthma.",0,0,0,0,0,0,1,0,0,629
"This includes changes in portfolio, execution of projects identified through marginal abatement cost curves, and the policy, innovations, and offsets necessary to achieve net-zero.",0,0,1,0,0,1,0,0,0,359
Growing storms and the costs they bring our company are predicted to increase in frequency and intensity as global warming escalates.,1,0,0,0,0,0,0,0,0,148
"Chevron engages with stakeholders, including investors, civil society organizations, customers, and others, to inform its approach to its social and environmental responsibilities.",0,0,1,0,0,1,0,0,1,381
"Making recommendations to the board regarding corporate planning time frames, carbon reduction goals, and capital allocation strategies to redirect its business model and financial flows consistent with the Paris Agreement;",0,0,1,0,0,1,0,0,0,53
"While the Company rapidly expands its petrochemical assets in climate-impacted areas, investors seek improved disclosure to understand whether CPChem is adequately evaluating and mitigating public health risks associated with climate-related impacts and the dangerous chemicals it uses.",1,0,0,1,0,0,0,0,0,159
This diverse set of perspectives helps ensure that the Board challenges itself and management on the risks and opportunities related to climate change.,0,0,1,0,0,1,0,0,0,93
"Without disclosing confidential information and to the extent reasonably feasible, subject to the limitations of current direct measurement technology discussed above, we intend to include information referenced in the “Resolved” section of the Proposal in the Update, including how detection technologies have advanced, how they can inform emission reduction strategies, and the challenges and uncertainties of current direct measurement technology.",0,0,1,0,0,1,0,0,0,595
"Fenceline communities adjacent to Chevron’s Richmond, CA refinery have higher rates of cardiovascular disease, cancer, and asthma.",0,0,0,0,0,0,1,0,0,188
"Its emissions contribute to the climate crisis, which disparately impacts people of color and furthers systemic racism.",1,0,0,0,0,0,1,0,0,627
"On an annual basis, the full Board reviews long-term energy outlooks and leading indicators that could signify change.",0,0,0,0,0,1,0,0,0,75
Chevron has a disciplined process for lobbying activities that is transparent through existing disclosures.,0,0,0,0,0,1,0,0,0,111
"And Chevron does not disclose its payments to tax-exempt organizations that write and endorse model legislation, such as the American Legislative Exchange Council (ALEC).",0,0,0,1,0,0,0,0,0,412
"We believe that the Chevron Way, Chevron’s Human Rights Policy, its OEMS, ERM and other processes, and its Corporate Responsibility Report all appropriately address the underlying concerns and accomplish the essential objective of the stockholder proposal.",0,0,1,0,0,1,0,0,1,225
"Chevron also discloses on its website not just lobbying activities, but all political contributions.",0,0,0,0,0,1,0,0,0,434
The reports build on the Company’s voluntary report in 2017 and align with the reporting framework of the Financial Stability Board’s Task Force on Climate-related Financial Disclosures.,0,0,1,0,0,1,0,0,0,71
"Finally, plaintiffs’ recognition and enforcement proceedings outside Ecuador have failed in every jurisdiction in which they have been attempted to date, namely, Argentina, Brazil and Canada.",0,0,0,1,0,0,0,0,0,520
"RESOLVED: Shareholders request that Chevron’s Board of Directors issue an audited report to shareholders on whether and how a significant reduction in fossil fuel demand, envisioned in the IEA Net Zero 2050 scenario, would affect its financial position and underlying assumptions.",0,0,0,0,0,1,0,0,0,355
"Since the February 2021 military coup, the “Blood Money Campaign” by Myanmar and international civil society organizations has organized protests, consumer boycotts, and media pressure against companies, including Chevron, that provide financial support to the military junta.",0,0,0,1,0,0,1,0,0,607
"To further these efforts, Chevron holds membership in trade associations that provide expert perspectives on many issues.",0,0,0,0,0,1,0,0,0,425
Preparing for and holding a special meeting is time-consuming and expensive.,0,0,0,0,1,0,0,0,0,248
"Chevron, in partnership with Total, PTT, and Myanmar Oil and Gas Enterprise (MOGE), holds equity in one of the largest investment projects in Myanmar (Burma): the Yadana gas field and pipeline that has generated billions of dollars for the Myanmar military junta.",0,0,0,1,0,0,1,0,0,597
"Climate-related risks are a source of financial risk, and therefore limiting global warming is essential to risk management and responsible stewardship of the economy.",0,0,1,0,0,1,0,0,0,315
Chevron’s employees are required to complete political and lobbying compliance training.,0,0,0,0,0,1,0,0,0,442
Studies have found actual emissions to be between 50 and 90% higher than estimated emissions reported using the formula.,1,0,0,0,0,0,0,0,0,580
"The impacts to CPChem’s operations from Hurricane Harvey, however, indicate the company’s level of preparedness is insufficient.",1,0,0,1,0,0,0,0,0,158
"At Chevron’s last eight Annual Meetings, an average of 68 percent of votes cast opposed this stockholder proposal to reduce the threshold for calling special meetings to 10 percent.",0,0,0,1,0,0,0,0,0,246
"Given strong independent Board oversight of the CEO and management and the Company’s corporate governance practices, including an empowered and effective independent Lead Director, your Board does not believe that a fixed policy requiring an independent Chairman is in the best interests of stockholders.",0,0,0,0,0,1,0,0,0,490
"Chevron adheres to the highest ethical standards when engaging in lobbying and political activities, ensures that such activities align with corporate goals, and complies with all laws and regulations governing lobbying activities and disclosure.",0,0,0,0,0,1,0,0,0,133
"Chevron engages with stakeholders, including the proponent and other investors, civil society organizations, customers, and other third parties, on an ongoing basis to inform its approach to human rights issues.",0,0,0,0,0,0,0,0,1,223
Your Board expects Chevron’s management to continue vigorously defending against this fraud.,0,0,0,0,0,1,0,0,0,489
This site contains the details of the Company’s current and previous years’ contributions.,0,0,0,0,0,1,0,0,0,36
Your Board recommends a vote AGAINST this proposal.,0,0,0,1,0,0,0,0,0,197
Chevron’s Richmond facility is the city’s largest polluter and the company has spent millions of dollars to influence city politics and funding.,1,0,0,1,0,0,0,0,0,630
"Chevron’s climate risk reports have downplayed significant factors, such as potential competition",1,0,0,1,0,0,0,0,0,283
Chevron shares the view that managing climate change-related risks and energy transition opportunities is vital to delivering superior long-term value.,0,0,1,0,0,1,0,0,0,324
"Resolved, the stockholders of Chevron request the preparation of a report, updated annually, disclosing:",0,0,0,0,0,1,0,0,0,396
"In 2021, investors managing more than $5.35 trillion supported strong federal methane regulations.",0,0,1,0,0,1,0,0,0,583
"Methane is 86 times more potent than carbon dioxide over a 20-year period, meaning reducing emissions now can buy valuable time to address the climate crisis.",0,0,1,0,0,0,0,0,0,577
Major oil companies face unprecedented disruption to their business driven by global imperatives to limit global warming and competition from non-carbon-emitting technologies.,1,0,0,0,0,0,0,0,0,61
We believe that the Company could lead and thrive in the energy transition.,0,0,1,0,0,0,0,0,0,322
"Chevron’s management made significant missteps, including moving the case from New York to Ecuador.",0,0,0,1,0,0,0,0,0,500
The company has generally disclosed that physical climate-related risks may impact its business and that it has a risk management system to plan for resiliency.,0,1,0,0,0,1,0,0,0,157
"Shell, BP, Equinor, and Total have already adopted Scope 3 ambitions.",0,0,1,0,0,0,0,0,0,318
Of Chevron’s December 2019 announcement of a $10 billion+ write-down on the value of its assets.,0,0,0,1,0,0,0,0,0,281
We believe we have the right processes and governance to ensure that we make the right decisions about where and how we conduct our business.,0,0,0,0,0,1,0,0,0,617
"Although the proposal purports to relate to the Board’s leadership structure, its supporting statement shows that it is a vehicle to discuss the Ecuador litigation.",0,0,0,0,1,0,0,0,0,481
"This does not include state lobbying, where Chevron also lobbies but disclosure is uneven or absent.",0,0,0,0,1,0,0,0,0,405
These operations can become inundated and pose significant chemical release risks during extreme weather events.,1,0,0,0,0,0,0,0,0,145
"When Chevron acquired Texaco in 2001, it inherited significant legal, financial, and reputational liabilities that stemmed from pollution of the water and lands of communities in the Ecuadorian Amazon.",1,0,0,0,0,0,0,0,0,496
"Similarly, in a separate action, on August 30, 2018, an international tribunal administered by the Permanent Court of Arbitration in The Hague issued a unanimous award in favor of Chevron, finding that the Ecuadorian judgment was procured through fraud, bribery, and corruption, and that it was based exclusively on environmental claims settled and released by the Republic of Ecuador years earlier.",0,0,0,1,0,0,0,0,0,302
Our approach to human rights is consistent.,0,0,0,0,0,0,0,0,1,615
"Chevron has robust corporate governance practices to protect stockholder interests, including a declassified Board; proxy access; no supermajority voting provisions in its By-Laws and Certificate of Incorporation; and a strong independent Board structure.",0,0,0,0,0,1,0,0,0,514
"An independent 2021 report documented dozens of outstanding legal cases against Chevron for alleged environmental damage and human rights violations, noting that the company has only paid .006% of associated fines, court judgements, and settlements.",1,0,0,1,0,0,1,0,0,637
The 15 percent threshold helps avoid waste of Company and stockholder resources to address narrow or special interests.,0,0,0,0,0,1,0,0,0,509
